City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
417,ponta delgada,40,PT,1568656426,78,37.73,-25.67,73.4,10.29
418,khorixas,0,NA,1568656500,28,-20.37,14.96,69.43,2.93
419,kantang,68,TH,1568656500,96,7.42,99.52,73.75,0.51
420,fare,49,PF,1568656501,76,-16.7,-151.02,77.53,18.25
421,harper,75,US,1568656501,40,30.3,-99.24,91.4,5.82
422,nuuk,20,GL,1568656501,45,64.17,-51.74,44.6,8.05
423,spornoye,0,RU,1568656501,45,50.84,37.29,62.6,4.47
424,ust-tsilma,100,RU,1568656502,93,65.44,52.15,40.63,5.64
425,callaway,1,US,1568656502,65,46.98,-95.91,82.4,14.99
426,pokhara,94,NP,1568656442,89,28.21,83.99,55.39,4.25
427,manta,0,RO,1568656502,47,45.1,24.1,63.85,4.5
428,bac giang,40,VN,1568656503,83,21.27,106.2,82.4,4.7
429,lazaro cardenas,75,MX,1568656503,57,28.39,-105.62,80.01,6.93
430,luganville,100,VU,1568656503,93,-15.51,167.18,67.63,2.68
431,nelson bay,90,AU,1568656503,100,-32.72,152.14,60.01,14.99
432,alim,87,CF,1568656503,97,6.02,14.65,67.45,3.98
433,kushiro,41,JP,1568656504,95,43.11,144.15,61.33,5.26
434,tabas,0,IR,1568656504,18,33.6,56.92,87.8,4.7
435,donskoye,0,RU,1568656504,42,45.45,41.98,68.0,4.47
436,kovvur,0,IN,1568656435,85,17.02,81.73,80.23,6.38
437,kon tum,46,VN,1568656504,99,14.36,108.0,68.17,1.19
438,kavaratti,89,IN,1568656505,79,10.57,72.64,81.85,14.0
439,ampanihy,0,MG,1568656505,74,-24.69,44.75,64.75,10.04
440,yumen,0,CN,1568656505,16,40.29,97.04,62.05,18.72
441,usinsk,100,RU,1568656505,88,66.0,57.56,40.99,11.52
442,beloha,0,MG,1568656506,72,-25.17,45.06,65.83,11.92
443,altay,100,CN,1568656506,56,47.83,88.13,44.59,1.97
444,porbandar,54,IN,1568656506,77,21.64,69.61,83.29,15.9
445,bushehr,0,IR,1568656507,79,28.97,50.84,86.0,3.74
446,edirne,100,TR,1568656507,64,41.68,26.56,61.0,6.96
447,saint-georges,99,CA,1568656303,22,46.12,-70.67,59.0,5.99
448,mpika,0,ZM,1568656507,37,-11.84,31.4,73.57,10.13
449,gawler,0,AU,1568656508,80,-34.6,138.75,45.0,5.82
450,touros,40,BR,1568656508,62,-5.2,-35.46,84.2,19.46
451,huntsville,75,US,1568656266,38,34.73,-86.59,96.01,9.17
452,lufilufi,6,WS,1568656508,83,-13.87,-171.6,82.0,15.99
453,srandakan,62,ID,1568656508,86,-7.94,110.25,75.01,11.61
454,katangli,0,RU,1568656509,87,51.71,143.23,47.11,6.33
455,pacifica,90,US,1568656399,93,37.61,-122.49,68.0,4.7
456,xiaoyi,98,CN,1568656509,73,37.15,111.77,52.33,3.6
457,springdale,1,US,1568656509,55,36.19,-94.13,91.0,3.36
458,los llanos de aridane,75,ES,1568656509,78,28.66,-17.92,75.2,8.05
459,swan river,6,CA,1568656509,45,52.11,-101.27,76.63,12.17
460,namibe,82,AO,1568656510,83,-15.19,12.15,66.91,8.16
461,salmo,100,CA,1568656510,82,49.19,-117.28,57.0,1.01
462,doha,100,QA,1568656443,75,25.29,51.53,93.2,5.82
463,luanda,0,AO,1568656223,83,-8.83,13.24,73.4,9.17
464,tugulym,75,RU,1568656510,100,57.06,64.64,46.99,6.71
465,hegang,0,CN,1568656510,71,47.34,130.28,40.27,4.47
466,conde,26,BR,1568656511,55,-11.81,-37.61,80.23,8.68
467,eyl,26,SO,1568656511,84,7.98,49.82,75.01,23.06
468,mandera,49,ET,1568656511,27,3.94,41.86,87.43,10.11
469,meadow lake,20,CA,1568656511,68,54.13,-108.44,66.2,2.24
470,dawson,75,US,1568656512,62,39.85,-89.46,91.0,5.82
471,ossora,28,RU,1568656512,87,59.24,163.07,38.65,2.28
472,bambanglipuro,62,ID,1568656512,86,-7.95,110.28,75.01,11.61
473,romilly-sur-seine,0,FR,1568656512,41,48.52,3.72,75.2,5.82
474,praia da vitoria,40,PT,1568656512,83,38.73,-27.07,73.4,14.99
475,shar,78,NG,1568656513,83,7.3,8.73,79.51,2.06
476,constitucion,5,MX,1568656502,45,23.99,-104.67,73.99,3.36
477,lavrentiya,77,RU,1568656513,80,65.58,-170.99,35.41,15.23
478,deputatskiy,93,RU,1568656513,96,69.3,139.9,33.97,1.66
479,progreso,0,UY,1568656514,51,-34.68,-56.22,60.8,11.41
480,kudahuvadhoo,54,MV,1568656514,68,2.67,72.89,83.29,1.07
481,zhezkazgan,26,KZ,1568656514,32,47.8,67.71,63.31,7.31
482,mosquera,75,CO,1568656514,45,4.71,-74.23,66.2,6.93
